,0
639,128353
640,128376
641,128378
642,128394
643,128439
644,128448
645,128464
646,128465
647,128487
648,128493
649,128503
650,128519
651,128524
652,128533
653,128540
654,128544
655,128550
656,128591
657,128599
658,128615
659,128619
660,128621
661,128629
662,128631
663,128661
664,128663
665,128665
666,128712
667,128721
668,128736
669,128749
670,128768
671,128769
672,128777
673,128779
674,128780
675,128787
676,128788
677,128803
678,128805
679,128806
680,128822
681,128830
682,128835
683,128838
684,128858
685,128885
686,128919
687,128944
688,128965
689,128968
690,128971
691,128977
692,128981
693,128995
694,129002
695,129003
696,129024
697,129029
698,129039
699,129049
700,129057
701,129067
702,129071
703,129083
704,129089
705,129093
706,129108
707,129128
708,129133
709,129139
710,129152
711,129175
712,129197
713,129202
714,129214
715,129242
716,129245
717,129294
718,129296
719,129324
720,129328
721,129342
722,129343
723,129350
724,129362
725,129364
726,129369
