rand,r2,MAE,less20RE_per,total_valid
169,0.5135,1.394,0.6158,341
170,0.5441,1.4393,0.5581,310
171,0.4648,1.5035,0.5609,312
172,0.4868,1.5157,0.6118,304
173,0.4163,1.5291,0.5488,297
174,0.3769,1.5056,0.5612,278
175,0.4445,1.5011,0.5658,281
176,0.4498,1.5511,0.5723,339
177,0.483,1.4913,0.5681,301
178,0.4521,1.4583,0.5775,284
179,0.4129,1.4776,0.5942,308
180,0.4765,1.5593,0.5766,333
181,0.4331,1.5348,0.614,342
182,0.5079,1.564,0.5534,262
183,0.4242,1.5189,0.6,315
184,0.4638,1.6185,0.5274,328
185,0.4302,1.6814,0.5358,321
186,0.3998,1.5935,0.5732,321
187,0.5538,1.4526,0.6113,301
188,0.4809,1.4602,0.5833,312
189,0.4284,1.5431,0.5358,265
190,0.5056,1.5727,0.5489,266
191,0.4446,1.5726,0.5537,298
192,0.5143,1.5503,0.5725,262
193,0.4861,1.557,0.5062,243
194,0.4203,1.5166,0.5825,285
195,0.4215,1.4328,0.5647,278
196,0.5041,1.5374,0.5492,315
197,0.4765,1.3565,0.6463,294
198,0.3759,1.5929,0.5466,311
199,0.5141,1.6287,0.5481,312
200,0.5299,1.626,0.5351,299
201,0.4106,1.5034,0.5781,301
202,0.4476,1.5891,0.5706,340
203,0.6075,1.6663,0.4945,275
204,0.4225,1.4806,0.6026,307
205,0.5091,1.4466,0.5936,283
206,0.358,1.3952,0.6479,267
207,0.4472,1.5256,0.5849,318
208,0.448,1.3913,0.6175,251
209,0.4719,1.4671,0.6174,298
210,0.5332,1.4271,0.6085,281
211,0.4413,1.4501,0.6398,322
212,0.5227,1.4958,0.5771,279
213,0.497,1.5494,0.5741,263
214,0.522,1.5219,0.5636,330
215,0.4755,1.5774,0.5627,279
216,0.4861,1.5635,0.5767,300
217,0.4134,1.493,0.5987,299
218,0.3644,1.49,0.6037,323
219,0.5117,1.4882,0.5914,301
220,0.4778,1.5817,0.5249,261
221,0.4967,1.6142,0.5601,316
222,0.512,1.391,0.5942,276
223,0.4305,1.5451,0.559,288
224,0.4231,1.5352,0.578,327
225,0.4612,1.3809,0.6196,326
226,0.4744,1.5922,0.5613,310
227,0.4507,1.5259,0.55,300
228,0.5384,1.4286,0.598,301
229,0.4367,1.4594,0.6088,294
230,0.5695,1.4652,0.5597,243
231,0.4319,1.4424,0.5673,245
232,0.4997,1.4072,0.6006,323
233,0.4464,1.577,0.5591,279
234,0.3887,1.6078,0.5311,305
235,0.5801,1.4771,0.5599,309
236,0.4941,1.5521,0.5819,287
237,0.4566,1.5436,0.5673,312
238,0.4199,1.4751,0.6304,322
239,0.4199,1.5236,0.568,250
240,0.5026,1.387,0.6102,313
241,0.4074,1.58,0.6033,300
242,0.4593,1.4295,0.6069,290
243,0.3687,1.5654,0.5569,334
244,0.5088,1.4555,0.5627,295
245,0.5305,1.5222,0.5843,332
246,0.4657,1.5357,0.5794,340
247,0.4621,1.4178,0.5979,286
248,0.4856,1.5344,0.5694,281
249,0.4306,1.7707,0.4865,259
250,0.5276,1.4472,0.5861,302
251,0.3763,1.5429,0.5621,306
252,0.5062,1.5842,0.5431,267
253,0.4645,1.6554,0.5279,305
254,0.4208,1.5889,0.5395,304
255,0.5497,1.4344,0.5938,256
256,0.5558,1.5095,0.577,331
257,0.5146,1.651,0.5368,326
258,0.4791,1.6003,0.5318,267
259,0.4758,1.7421,0.5151,299
260,0.3603,1.4408,0.6044,316
261,0.52,1.45,0.6203,266
262,0.484,1.6294,0.5225,289
263,0.4393,1.5229,0.5962,260
264,0.3906,1.5634,0.5592,304
265,0.4551,1.5326,0.5833,324
266,0.5266,1.3985,0.6021,284
267,0.4788,1.4498,0.5915,306
268,0.4944,1.4773,0.5871,356
269,0.4448,1.4612,0.5953,299
270,0.4539,1.5742,0.5987,309
271,0.4639,1.3734,0.602,299
272,0.4997,1.5391,0.5461,271
273,0.4564,1.6103,0.5623,281
274,0.5307,1.4361,0.6106,321
275,0.5033,1.6123,0.5095,316
276,0.476,1.5468,0.5939,293
277,0.4408,1.5429,0.5793,290
278,0.4929,1.4186,0.5648,301
279,0.432,1.6005,0.5962,312
280,0.396,1.4336,0.5875,320
281,0.4471,1.5572,0.585,294
282,0.4072,1.4594,0.614,342
283,0.4744,1.3607,0.6354,277
284,0.4748,1.3582,0.6108,316
285,0.4799,1.4914,0.5559,286
286,0.5181,1.5327,0.5908,303
287,0.4883,1.5272,0.5784,287
288,0.5394,1.5521,0.5821,280
289,0.4311,1.4602,0.6109,329
290,0.4785,1.4015,0.6053,304
291,0.5339,1.4318,0.5882,255
292,0.4686,1.4165,0.6106,303
293,0.4991,1.5256,0.5847,301
294,0.4275,1.5921,0.5884,311
295,0.4733,1.5063,0.5802,293
296,0.5217,1.5097,0.5217,299
297,0.3749,1.5765,0.5621,290
298,0.3632,1.4081,0.6708,322
299,0.43,1.4304,0.5924,314
300,0.4986,1.5146,0.5321,280
301,0.4279,1.4091,0.625,336
302,0.4203,1.4036,0.6486,313
303,0.4431,1.4953,0.586,285
304,0.3477,1.621,0.5941,340
305,0.4911,1.5892,0.531,258
306,0.4629,1.6319,0.5527,313
307,0.4523,1.6339,0.567,291
308,0.528,1.4846,0.5486,257
309,0.48,1.4972,0.5934,273
310,0.4703,1.4524,0.6006,318
311,0.4856,1.4996,0.5704,277
312,0.4542,1.5228,0.6175,332
313,0.4342,1.4818,0.582,256
314,0.3774,1.3728,0.6588,340
315,0.4884,1.5139,0.5668,307
316,0.4746,1.5027,0.5686,306
317,0.561,1.436,0.5817,306
318,0.4189,1.3489,0.6469,337
319,0.4894,1.4359,0.5884,311
320,0.464,1.4328,0.5694,281
321,0.4919,1.6862,0.4917,301
322,0.5198,1.484,0.5512,283
323,0.4629,1.5011,0.5669,284
324,0.4354,1.6487,0.525,280
325,0.4928,1.5539,0.5752,306
326,0.4372,1.5022,0.5749,287
327,0.3706,1.4154,0.6227,326
328,0.5076,1.6646,0.5329,289
329,0.4197,1.5543,0.6106,321
330,0.58,1.5493,0.5236,254
331,0.4755,1.456,0.5783,332
332,0.4851,1.5985,0.5474,274
333,0.4408,1.514,0.602,304
334,0.4227,1.546,0.5373,322
335,0.5189,1.642,0.5342,292
336,0.4075,1.4927,0.5906,320
337,0.4064,1.6433,0.5522,297
338,0.4915,1.523,0.5438,274
339,0.524,1.5139,0.5528,246
340,0.5042,1.5764,0.486,286
341,0.3743,1.6249,0.5504,347
342,0.5139,1.5013,0.577,305
343,0.5343,1.5996,0.542,262
344,0.5061,1.5793,0.5607,305
345,0.4083,1.6696,0.4912,342
346,0.4687,1.5477,0.5788,311
347,0.4757,1.4633,0.6139,316
348,0.454,1.4202,0.57,300
349,0.442,1.4758,0.5865,312
350,0.4636,1.4716,0.5588,306
351,0.5335,1.501,0.5779,263
352,0.494,1.5252,0.5831,331
353,0.4399,1.6194,0.5304,247
354,0.4236,1.6339,0.5268,298
355,0.4017,1.5695,0.5666,293
356,0.5532,1.5793,0.5556,306
357,0.4984,1.5658,0.5639,321
358,0.518,1.5212,0.5496,262
359,0.4042,1.5145,0.5681,301
360,0.4848,1.5101,0.5719,327
361,0.4899,1.4755,0.5817,306
362,0.5341,1.4754,0.5953,257
363,0.4568,1.4169,0.6255,275
364,0.4192,1.2866,0.6545,301
365,0.4948,1.6428,0.5377,292
366,0.489,1.4858,0.5495,293
367,0.4237,1.65,0.5411,292
368,0.4441,1.5221,0.5983,351
369,0.5082,1.5338,0.5586,290
370,0.5276,1.4111,0.6062,259
371,0.4847,1.4208,0.5398,289
372,0.483,1.4513,0.5516,281
373,0.4784,1.3931,0.6449,321
374,0.4715,1.5781,0.5495,293
375,0.4723,1.3998,0.6407,295
376,0.5185,1.4398,0.6117,291
377,0.4227,1.4573,0.6258,326
378,0.4508,1.5533,0.5172,261
379,0.4498,1.5587,0.5611,303
380,0.4353,1.5321,0.5795,302
381,0.407,1.5468,0.5543,276
382,0.4478,1.664,0.5097,310
383,0.4531,1.5254,0.589,309
384,0.5607,1.5772,0.5735,272
385,0.4795,1.4001,0.5985,264
386,0.4626,1.5301,0.5766,274
387,0.4444,1.8119,0.4725,309
388,0.5409,1.4783,0.6048,291
389,0.4953,1.5127,0.5819,299
390,0.5221,1.494,0.5934,305
391,0.5283,1.5576,0.5611,303
392,0.4743,1.6224,0.5395,304
393,0.4274,1.6474,0.5745,322
394,0.4444,1.5175,0.6278,317
