rand,r2,MAE,less20RE_per,Average_RE,total_valid
132,0.5041,1.3712,0.6574,0.2224,937
133,0.4042,1.4184,0.6341,0.2143,1025
134,0.4277,1.4804,0.6205,0.2301,1025
135,0.4279,1.3971,0.6474,0.2038,1055
136,0.453,1.3924,0.6515,0.2229,970
137,0.4339,1.367,0.6344,0.204,960
138,0.4282,1.3686,0.6537,0.1971,1025
139,0.4165,1.453,0.6386,0.2091,1079
140,0.4366,1.3475,0.6429,0.2178,924
141,0.4282,1.4379,0.6387,0.2064,988
142,0.4708,1.3662,0.6399,0.2179,983
143,0.4903,1.4381,0.6244,0.2351,908
144,0.5014,1.3692,0.6377,0.2256,944
145,0.4675,1.3173,0.6508,0.2095,965
146,0.4087,1.3618,0.6563,0.1928,1158
147,0.5331,1.5064,0.586,0.2603,988
148,0.4637,1.343,0.6436,0.2094,996
149,0.4551,1.4129,0.6509,0.2103,1014
150,0.5423,1.3652,0.6151,0.2122,956
151,0.4299,1.4701,0.6408,0.219,1058
152,0.4505,1.4036,0.6382,0.2134,973
153,0.5282,1.3894,0.6389,0.2328,936
154,0.4625,1.3877,0.6224,0.2179,1025
155,0.5009,1.392,0.6209,0.2249,939
156,0.503,1.378,0.6353,0.2059,987
157,0.4162,1.4534,0.6283,0.2209,998
158,0.4866,1.37,0.6486,0.1945,999
159,0.4542,1.4274,0.6252,0.2129,1022
160,0.4345,1.408,0.6416,0.2092,1024
161,0.4684,1.3971,0.6208,0.2031,915
162,0.4021,1.4582,0.6335,0.199,1094
163,0.4276,1.3687,0.6544,0.22,1033
164,0.3737,1.4354,0.6565,0.2136,1080
165,0.4575,1.3916,0.6364,0.212,880
166,0.3648,1.4076,0.6486,0.2013,1050
167,0.4394,1.354,0.6487,0.2033,1022
168,0.4499,1.3907,0.6387,0.2211,955
169,0.4656,1.4638,0.615,0.2329,948
170,0.4533,1.4487,0.6075,0.2197,991
171,0.5093,1.3895,0.6426,0.2015,999
172,0.4693,1.3969,0.6297,0.2237,1002
173,0.3921,1.4045,0.655,0.2008,1090
174,0.5191,1.4131,0.6352,0.2218,921
175,0.5018,1.3023,0.663,0.209,1003
176,0.4399,1.4807,0.6327,0.2222,961
177,0.4586,1.3239,0.6574,0.2032,1080
178,0.4919,1.4376,0.6178,0.2164,921
179,0.3792,1.3782,0.6499,0.2005,974
180,0.4939,1.3214,0.6679,0.2119,1042
181,0.3923,1.4504,0.6198,0.2133,989
182,0.448,1.3466,0.6724,0.1984,1038
183,0.4655,1.411,0.6519,0.2151,994
184,0.4599,1.3443,0.6412,0.2059,981
185,0.4837,1.3561,0.6571,0.2147,939
186,0.522,1.3282,0.6408,0.2162,952
187,0.451,1.3867,0.6476,0.2217,1047
188,0.4167,1.3535,0.6724,0.1936,1047
189,0.4726,1.3897,0.6305,0.2309,931
190,0.4399,1.3656,0.6466,0.2213,1030
191,0.5124,1.3975,0.6218,0.2303,952
192,0.3855,1.4418,0.629,0.2009,1116
193,0.484,1.4469,0.6183,0.2253,993
194,0.5011,1.3762,0.6156,0.2255,900
195,0.4733,1.3819,0.6335,0.2202,996
196,0.4452,1.5038,0.6162,0.2165,990
197,0.4055,1.4172,0.6517,0.207,1071
198,0.4842,1.3959,0.611,0.2294,928
199,0.4639,1.4771,0.6272,0.2322,1057
200,0.4039,1.5685,0.5983,0.2358,1078
201,0.4505,1.3579,0.6576,0.2099,990
202,0.4974,1.4164,0.6214,0.2097,1001
203,0.487,1.3954,0.647,0.2063,983
204,0.3363,1.4765,0.6609,0.2061,1047
205,0.4087,1.4251,0.6444,0.2099,1046
206,0.4612,1.3668,0.6246,0.2226,935
207,0.4272,1.4378,0.6248,0.2012,1066
208,0.476,1.453,0.6318,0.2168,1062
209,0.4385,1.3499,0.6641,0.1956,1057
210,0.495,1.3233,0.6312,0.2189,865
211,0.4554,1.3895,0.6492,0.2173,1029
212,0.4376,1.3567,0.6641,0.2076,1021
213,0.5062,1.4274,0.6079,0.2271,913
214,0.4768,1.3966,0.6594,0.218,919
215,0.4887,1.3304,0.6532,0.2158,963
216,0.4537,1.3397,0.6558,0.2048,1040
217,0.4399,1.3485,0.6457,0.2132,968
218,0.4691,1.4315,0.6122,0.2226,954
219,0.4465,1.376,0.6458,0.2068,974
220,0.4551,1.377,0.6356,0.1959,1117
221,0.4666,1.3881,0.6534,0.2137,1053
222,0.4136,1.4196,0.6414,0.2013,1082
223,0.4524,1.4079,0.6247,0.2212,986
224,0.4919,1.3302,0.6414,0.2146,948
225,0.5069,1.3552,0.6775,0.2151,1042
226,0.4641,1.4263,0.6106,0.2247,963
227,0.4488,1.4249,0.6283,0.2313,990
228,0.5303,1.4064,0.6298,0.2301,921
229,0.4094,1.3534,0.6814,0.1896,1105
230,0.4797,1.3366,0.6623,0.2163,989
231,0.5204,1.4531,0.619,0.2315,987
232,0.4618,1.3717,0.6375,0.2128,902
233,0.4671,1.3509,0.6552,0.214,960
234,0.3912,1.3576,0.667,0.1959,1108
235,0.4768,1.4544,0.6105,0.2331,973
236,0.4811,1.3182,0.6528,0.2145,916
237,0.5128,1.4267,0.607,0.2259,944
238,0.4822,1.4364,0.6412,0.2128,1034
239,0.3235,1.3743,0.6706,0.1898,1172
240,0.3824,1.3941,0.6449,0.2016,1104
241,0.4397,1.4582,0.6201,0.2322,1045
242,0.4448,1.4033,0.6494,0.2144,987
243,0.4309,1.3959,0.6537,0.2078,1077
244,0.4995,1.4146,0.627,0.2238,874
245,0.5354,1.4731,0.6097,0.2457,925
